[2019-08-22 22:37:10,981] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:37:11,024] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2019-08-22 22:37:11,065] INFO [Controller id=0] Partitions being reassigned: Map() (kafka.controller.KafkaController)
[2019-08-22 22:37:11,068] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:37:11,071] INFO [Controller id=0] Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2019-08-22 22:37:11,074] INFO [Controller id=0] Current list of topics in the cluster: Set(tdn-systrk) (kafka.controller.KafkaController)
[2019-08-22 22:37:11,075] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2019-08-22 22:37:11,077] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2019-08-22 22:37:11,090] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2019-08-22 22:37:11,093] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2019-08-22 22:37:11,095] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2019-08-22 22:37:11,096] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2019-08-22 22:37:11,126] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:37:11,150] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:37:11,164] INFO [RequestSendThread controllerId=0] Controller 0 connected to localhost:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2019-08-22 22:37:11,255] INFO [ReplicaStateMachine controllerId=0] Started replica state machine with initial state -> Map([Topic=tdn-systrk,Partition=0,Replica=0] -> OnlineReplica) (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:37:11,256] INFO [PartitionStateMachine controllerId=0] Initializing partition state (kafka.controller.PartitionStateMachine)
[2019-08-22 22:37:11,270] INFO [PartitionStateMachine controllerId=0] Triggering online partition state changes (kafka.controller.PartitionStateMachine)
[2019-08-22 22:37:11,273] INFO [PartitionStateMachine controllerId=0] Started partition state machine with initial state -> Map(tdn-systrk-0 -> OnlinePartition) (kafka.controller.PartitionStateMachine)
[2019-08-22 22:37:11,274] INFO [Controller id=0] Ready to serve as the new controller with epoch 13 (kafka.controller.KafkaController)
[2019-08-22 22:37:11,285] INFO [Controller id=0] Removing partitions Set() from the list of reassigned partitions in zookeeper (kafka.controller.KafkaController)
[2019-08-22 22:37:11,289] INFO [Controller id=0] No more partitions need to be reassigned. Deleting zk path /admin/reassign_partitions (kafka.controller.KafkaController)
[2019-08-22 22:37:11,306] INFO [Controller id=0] Partitions undergoing preferred replica election:  (kafka.controller.KafkaController)
[2019-08-22 22:37:11,308] INFO [Controller id=0] Partitions that completed preferred replica election:  (kafka.controller.KafkaController)
[2019-08-22 22:37:11,311] INFO [Controller id=0] Skipping preferred replica election for partitions due to topic deletion:  (kafka.controller.KafkaController)
[2019-08-22 22:37:11,315] INFO [Controller id=0] Resuming preferred replica election for partitions:  (kafka.controller.KafkaController)
[2019-08-22 22:37:11,318] INFO [Controller id=0] Starting preferred replica leader election for partitions  (kafka.controller.KafkaController)
[2019-08-22 22:37:11,429] INFO [Controller id=0] Starting the controller scheduler (kafka.controller.KafkaController)
[2019-08-22 22:37:16,436] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2019-08-22 22:37:16,441] DEBUG [Controller id=0] Preferred replicas by broker Map(0 -> Map(tdn-systrk-0 -> Vector(0))) (kafka.controller.KafkaController)
[2019-08-22 22:37:16,446] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2019-08-22 22:37:16,448] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2019-08-22 22:42:05,280] INFO [Controller id=0] Shutting down broker 0 (kafka.controller.KafkaController)
[2019-08-22 22:42:05,281] DEBUG [Controller id=0] All shutting down brokers: 0 (kafka.controller.KafkaController)
[2019-08-22 22:42:05,283] DEBUG [Controller id=0] Live brokers:  (kafka.controller.KafkaController)
[2019-08-22 22:42:05,293] TRACE [Controller id=0] All leaders = tdn-systrk-0 -> (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) (kafka.controller.KafkaController)
[2019-08-22 22:42:06,214] INFO [ControllerEventThread controllerId=0] Shutting down (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:42:06,214] INFO [ControllerEventThread controllerId=0] Stopped (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:42:06,214] INFO [ControllerEventThread controllerId=0] Shutdown completed (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:42:06,215] DEBUG [Controller id=0] Resigning (kafka.controller.KafkaController)
[2019-08-22 22:42:06,217] DEBUG [Controller id=0] Unregister BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:42:06,222] INFO [PartitionStateMachine controllerId=0] Stopped partition state machine (kafka.controller.PartitionStateMachine)
[2019-08-22 22:42:06,225] INFO [ReplicaStateMachine controllerId=0] Stopped replica state machine (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:42:06,226] INFO [RequestSendThread controllerId=0] Shutting down (kafka.controller.RequestSendThread)
[2019-08-22 22:42:06,227] INFO [RequestSendThread controllerId=0] Stopped (kafka.controller.RequestSendThread)
[2019-08-22 22:42:06,227] INFO [RequestSendThread controllerId=0] Shutdown completed (kafka.controller.RequestSendThread)
[2019-08-22 22:42:06,233] INFO [Controller id=0] Resigned (kafka.controller.KafkaController)
[2019-08-22 22:44:57,967] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=kafka.controller (kafka.controller)
[2019-08-22 22:45:12,783] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:45:12,836] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 14 and epoch zk version is now 14 (kafka.controller.KafkaController)
